,Probe,X_bool_sig,Y_bool_sig,Z_bool_sig,X_int_bool,Y_int_bool,Z_int_bool
0,1,True,False,True,False,True,False
1,2,True,False,False,False,False,True
2,3,False,True,True,True,False,False
3,4,False,False,False,True,True,True
4,5,False,False,False,True,False,False
5,6,False,True,False,False,False,False
6,7,True,True,False,True,True,False
7,8,True,True,False,True,False,False
8,9,False,True,False,True,False,False
9,10,True,False,True,True,False,False
10,11,False,True,False,True,False,False
11,12,False,False,False,True,True,True
